timestamp,asset,instrument_type,strike,trading_symbol,traded_price,traded_qty,aggressor_side,cumulative_vol,open_interest
2026-09-16 14:39:05.106,SENSEX,PE,73700.0,SENSEX2691773700PE,122.9,7300,SELL_AGGRESSOR,30638300,1183180
2026-09-16 14:39:05.106,SENSEX,CE,73800.0,SENSEX2691773800CE,623.75,40,BUY_AGGRESSOR,2016280,96920
2026-09-16 14:39:05.106,SENSEX,PE,73800.0,SENSEX2691773800PE,144.45,1380,SELL_AGGRESSOR,38588580,1343680
2026-09-16 14:39:05.106,SENSEX,CE,73900.0,SENSEX2691773900CE,547.15,120,SELL_AGGRESSOR,3001940,135280
2026-09-16 14:39:05.106,SENSEX,PE,73900.0,SENSEX2691773900PE,170.9,6540,SELL_AGGRESSOR,37159000,1640520
2026-09-16 14:39:05.106,SENSEX,CE,74000.0,SENSEX2691774000CE,475.8,480,SELL_AGGRESSOR,19443460,752680
2026-09-16 14:39:05.106,SENSEX,PE,74000.0,SENSEX2691774000PE,200.95,8100,SELL,100490460,4011720
2026-09-16 14:39:05.106,SENSEX,CE,74100.0,SENSEX2691774100CE,412.1,240,BUY_AGGRESSOR,14171280,397640
2026-09-16 14:39:05.106,SENSEX,PE,74100.0,SENSEX2691774100PE,234.1,3800,SELL,48128720,1804900
2026-09-16 14:39:05.106,SENSEX,CE,74200.0,SENSEX2691774200CE,349.5,1200,SELL_AGGRESSOR,34936840,714820
2026-09-16 14:39:05.106,SENSEX,PE,74200.0,SENSEX2691774200PE,273.65,2380,BUY_AGGRESSOR,64392020,2293440
2026-09-16 14:39:05.106,SENSEX,CE,74300.0,SENSEX2691774300CE,294.6,6620,SELL_AGGRESSOR,65726340,1711340
2026-09-16 14:39:05.106,SENSEX,PE,74300.0,SENSEX2691774300PE,319.35,8660,BUY_AGGRESSOR,77575300,2988260
2026-09-16 14:39:05.106,SENSEX,CE,74400.0,SENSEX2691774400CE,246.45,5940,SELL_AGGRESSOR,72335360,2002820
2026-09-16 14:39:05.106,SENSEX,PE,74400.0,SENSEX2691774400PE,370.85,8320,BUY_AGGRESSOR,51649780,1732040
2026-09-16 14:39:05.106,SENSEX,CE,74500.0,SENSEX2691774500CE,202.95,6920,SELL_AGGRESSOR,93486080,2705820
2026-09-16 14:39:05.106,SENSEX,PE,74500.0,SENSEX2691774500PE,428.5,2800,BUY_AGGRESSOR,38070840,1125380
2026-09-16 14:39:05.106,SENSEX,CE,74600.0,SENSEX2691774600CE,166.0,1440,SELL_AGGRESSOR,47124160,1717640
2026-09-16 14:39:05.106,SENSEX,PE,74600.0,SENSEX2691774600PE,487.9,3780,SELL_AGGRESSOR,10176180,266660
2026-09-16 14:39:05.106,SENSEX,CE,74700.0,SENSEX2691774700CE,136.1,2900,BUY,43740840,1412680
2026-09-16 14:39:05.106,SENSEX,PE,74700.0,SENSEX2691774700PE,557.9,140,BUY_AGGRESSOR,6203240,227580
2026-09-16 14:39:05.106,SENSEX,CE,74800.0,SENSEX2691774800CE,109.6,2260,SELL_AGGRESSOR,42693480,1561100
2026-09-16 14:39:05.106,SENSEX,PE,74800.0,SENSEX2691774800PE,631.2,140,INSIDE,3244740,191840
2026-09-16 14:39:05.106,SENSEX,CE,74900.0,SENSEX2691774900CE,87.3,5280,SELL_AGGRESSOR,36735920,1046680
2026-09-16 14:39:07.003,SENSEX,PE,73700.0,SENSEX2691773700PE,124.45,1040,BUY_AGGRESSOR,30639340,1183180
2026-09-16 14:39:07.003,SENSEX,CE,73800.0,SENSEX2691773800CE,621.7,480,SELL,2016760,96920
2026-09-16 14:39:07.003,SENSEX,PE,73800.0,SENSEX2691773800PE,146.2,2320,BUY_AGGRESSOR,38590900,1343680
2026-09-16 14:39:07.003,SENSEX,CE,73900.0,SENSEX2691773900CE,543.15,1260,SELL_AGGRESSOR,3003200,135280
2026-09-16 14:39:07.003,SENSEX,PE,73900.0,SENSEX2691773900PE,172.65,1340,BUY_AGGRESSOR,37160340,1640520
2026-09-16 14:39:07.003,SENSEX,CE,74000.0,SENSEX2691774000CE,474.7,740,SELL_AGGRESSOR,19444200,752680
2026-09-16 14:39:07.003,SENSEX,PE,74000.0,SENSEX2691774000PE,202.3,6920,BUY_AGGRESSOR,100497380,4011720
2026-09-16 14:39:07.003,SENSEX,CE,74100.0,SENSEX2691774100CE,408.35,820,SELL_AGGRESSOR,14172100,397640
2026-09-16 14:39:07.003,SENSEX,PE,74100.0,SENSEX2691774100PE,236.05,1760,BUY_AGGRESSOR,48130480,1804900
2026-09-16 14:39:07.003,SENSEX,CE,74200.0,SENSEX2691774200CE,348.2,540,SELL_AGGRESSOR,34937380,714820
2026-09-16 14:39:07.003,SENSEX,PE,74200.0,SENSEX2691774200PE,275.25,4740,BUY_AGGRESSOR,64396760,2293440
2026-09-16 14:39:07.003,SENSEX,CE,74300.0,SENSEX2691774300CE,294.15,2340,SELL_AGGRESSOR,65728680,1711340
2026-09-16 14:39:07.003,SENSEX,PE,74300.0,SENSEX2691774300PE,319.9,6600,BUY_AGGRESSOR,77581900,2988260
2026-09-16 14:39:07.003,SENSEX,CE,74400.0,SENSEX2691774400CE,245.8,1920,SELL_AGGRESSOR,72337280,2002820
2026-09-16 14:39:07.003,SENSEX,PE,74400.0,SENSEX2691774400PE,371.7,1380,BUY_AGGRESSOR,51651160,1732040
2026-09-16 14:39:07.003,SENSEX,CE,74500.0,SENSEX2691774500CE,204.1,2060,BUY_AGGRESSOR,93488140,2705820
2026-09-16 14:39:07.003,SENSEX,PE,74500.0,SENSEX2691774500PE,429.1,4860,BUY_AGGRESSOR,38075700,1125380
2026-09-16 14:39:07.003,SENSEX,CE,74600.0,SENSEX2691774600CE,166.15,4380,BUY,47128540,1717640
2026-09-16 14:39:07.003,SENSEX,PE,74600.0,SENSEX2691774600PE,491.7,280,BUY_AGGRESSOR,10176460,266660
2026-09-16 14:39:07.003,SENSEX,CE,74700.0,SENSEX2691774700CE,135.45,2180,SELL_AGGRESSOR,43743020,1412680
2026-09-16 14:39:07.003,SENSEX,CE,74800.0,SENSEX2691774800CE,108.85,320,SELL_AGGRESSOR,42693800,1561100
2026-09-16 14:39:07.003,SENSEX,PE,74800.0,SENSEX2691774800PE,634.65,200,BUY_AGGRESSOR,3244940,191840
2026-09-16 14:39:07.003,SENSEX,CE,74900.0,SENSEX2691774900CE,87.75,1060,BUY_AGGRESSOR,36736980,1046680
2026-09-16 14:39:08.950,SENSEX,PE,73700.0,SENSEX2691773700PE,123.95,1460,SELL_AGGRESSOR,30640800,1183180
2026-09-16 14:39:08.950,SENSEX,PE,73800.0,SENSEX2691773800PE,146.15,1080,BUY_AGGRESSOR,38591980,1343680
